"","V91","V96","V116","V132","V146","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V318","V319","V353","V355"
"87",2,7,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,1,1,1,1,1,1,1,1,37
"88",2,5,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,5,1,1,1,55
"89",2,8,3,4,1,2,1,1,3,3,1,5,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,40
"90",2,5,5,3,1,2,2,4,2,1,1,1,2,1,1,2,1,1,1,1,5,1,2,2,4,1,3,2,1,44
"91",2,6,10,8,1,1,1,1,1,5,1,5,5,1,1,1,1,1,3,3,3,3,1,4,1,1,3,1,1,62
"92",1,8,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,5,1,1,2,33
"93",2,9,9,7,1,3,1,1,2,5,1,3,1,1,1,1,1,1,5,5,2,4,4,3,1,1,2,1,2,24
"94",1,6,10,6,1,1,1,1,3,3,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,2,18
"95",2,6,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,2,60
"96",2,10,9,5,1,1,3,1,5,1,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,2,36
"97",2,7,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,40
"98",2,10,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,2,40
"99",1,5,6,6,1,2,1,1,2,3,1,3,1,1,1,4,1,1,5,1,3,2,2,1,1,4,1,1,1,46
"100",1,8,5,5,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,2,1,1,3,1,1,2,36
"101",2,6,7,7,1,3,1,1,1,1,1,1,1,1,1,6,1,1,4,1,1,1,2,1,1,7,1,1,2,30
"102",2,8,8,7,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,4,1,1,1,1,8,1,1,2,32
"103",1,8,7,7,1,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,1,1,8,1,1,2,30
"104",2,6,5,5,1,1,1,3,1,1,1,7,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,35
"105",2,8,10,7,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,35
"106",2,8,10,7,1,4,1,1,1,1,1,1,6,1,1,3,1,1,1,1,1,4,1,1,1,9,1,1,2,27
"107",2,6,7,4,1,1,1,1,1,1,1,10,7,1,1,2,1,1,1,1,1,5,1,1,1,6,1,1,2,32
"108",2,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,40
"109",2,10,5,8,1,1,6,7,1,1,1,7,5,1,1,8,1,1,1,1,1,2,1,1,1,1,1,1,2,30
"110",2,7,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,6,1,1,1,26
"111",2,5,4,6,1,6,1,1,1,3,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,24
"112",2,10,6,5,1,5,5,5,5,1,1,1,1,1,4,1,1,1,1,1,3,1,1,1,1,6,1,1,1,23
"113",2,7,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,1,7,1,1,1,1,1,1,1,22
"114",2,6,10,4,1,4,5,1,1,1,1,1,1,1,1,8,1,1,1,1,3,5,1,1,1,9,1,1,1,21
"115",1,8,10,10,1,6,5,3,3,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,24
"116",1,7,2,3,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,25
"117",2,10,9,8,1,1,1,1,3,1,1,1,9,1,4,1,1,1,6,1,6,5,1,1,1,1,1,1,1,18
"118",2,8,7,5,1,5,1,2,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,3,1,9,1,1,1,24
"119",1,8,8,6,1,1,3,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"120",1,6,5,3,1,1,2,4,1,1,1,6,1,1,1,2,1,1,5,1,1,5,1,1,1,3,1,1,1,21
"121",2,6,7,6,1,1,1,1,1,1,1,7,5,1,2,1,1,1,1,1,1,2,2,1,1,8,1,1,1,19
"122",1,10,8,8,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28
"123",1,6,5,4,1,6,1,1,6,1,1,5,5,1,3,1,1,1,1,1,1,5,1,1,1,9,1,1,1,18
"124",2,5,5,4,1,4,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,21
"125",2,5,4,4,1,7,5,1,2,1,1,4,1,1,1,1,1,1,1,1,8,3,1,1,1,5,1,3,1,18
"126",2,6,10,6,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,3,1,1,1,3,10,1,1,1,24
"127",1,10,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,8,1,1,1,1,1,1,1,1,40
"128",2,10,10,10,1,8,1,1,1,1,1,6,5,6,7,2,10,2,10,2,2,10,1,1,1,1,1,1,2,19
"129",2,10,7,8,1,10,1,8,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,33
"130",2,10,10,8,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,23
"131",2,8,5,8,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,25
"132",2,7,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,38
"133",2,8,8,7,1,7,4,4,1,1,1,4,3,2,4,2,2,4,3,2,2,7,1,1,1,1,1,3,2,25
