"","V91","V96","V116","V132","V146","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V318","V319","V353","V355"
"200",2,10,10,7,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,3,1,1,1,1,1,4,1,1,2,65
"201",2,4,10,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,10,5,1,1,5,1,1,1,29
"202",2,9,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,27
"203",2,9,7,5,2,1,4,1,1,1,1,1,6,1,1,1,1,1,6,6,6,6,1,6,1,6,1,1,1,28
"204",2,5,2,3,2,1,1,1,1,1,1,4,1,10,6,6,1,1,6,6,1,6,10,6,1,10,1,1,1,26
"205",2,10,2,6,2,1,1,1,1,1,1,1,6,1,1,1,1,1,6,5,5,1,5,1,1,10,1,1,1,33
"206",2,10,8,7,2,1,1,1,1,1,1,1,5,4,1,1,1,1,5,5,3,10,6,1,1,6,1,1,1,35
"207",1,6,7,6,2,1,1,1,1,1,1,1,6,1,1,1,1,1,5,7,2,6,1,1,1,10,1,1,1,34
"208",2,6,4,1,2,1,1,1,1,1,1,1,5,5,1,1,1,1,5,5,5,2,2,2,1,10,1,1,1,33
"209",2,6,8,2,2,1,5,1,1,4,1,1,3,1,1,1,1,1,5,6,6,9,3,6,1,6,1,1,1,46
"210",2,5,10,1,2,6,6,1,1,1,1,1,1,1,1,1,1,5,5,5,10,1,1,1,1,10,1,1,1,49
"211",1,7,9,2,2,1,1,1,1,1,1,1,5,1,1,1,1,1,5,6,6,6,6,5,1,10,1,1,1,45
"212",2,9,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,10,1,1,1,1,1,1,1,68
"213",2,8,10,8,2,1,1,1,1,1,1,1,5,1,1,1,1,1,6,6,1,1,1,1,1,10,1,1,1,29
"214",2,8,9,6,2,3,1,2,1,1,1,4,1,1,1,6,1,1,5,5,1,10,1,5,1,10,1,1,1,27
"215",2,6,9,3,2,3,1,1,1,1,1,5,5,1,1,1,1,1,1,5,5,10,4,5,1,10,1,1,1,20
"216",2,8,6,5,2,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,19
"217",2,10,8,9,2,1,1,1,1,1,1,1,3,1,1,1,1,1,6,4,1,10,5,1,1,10,1,1,1,40
